Developer,Repository Name,Number of Stars,Language,Topics,AI / Data / ML,Systems / Embedded / Robotics,Web / Mobile / Application Development,DevOps / Infrastructure / Cloud,Security / Networking,Data Platforms / Backend Services / Integrations,CLI / Utilities / Developer Tools,Libraries / SDKs / Framework Components,Research / Experiments / Demos,Education / Tutorials / Docs,top_genre
@lyingbug,Tencent/WeKnora,6827,Go,"['agent', 'golang', 'multi-tenant', 'ai', 'chatbot', 'evaluation', 'embeddings', 'openai', 'question-answering', 'chatbots', 'knowledge-base', 'semantic-search', 'reranking', 'multimodel', 'rag', 'vector-search', 'llm', 'generative-ai', 'agentic', 'ollama']",0.47150259067357514,0.36787564766839376,1.0,0.24870466321243523,0.21243523316062177,0.7927461139896373,0.29015544041450775,0.24870466321243523,0.21761658031088082,0.05181347150259067,Web / Mobile / Application Development
@actions-user,projectdiscovery/nuclei-templates,11131,JavaScript,"['security', 'fingerprint', 'exploits', 'nuclei', 'bugbounty', 'vulnerability-detection', 'hacktoberfest', 'exploit-development', 'nuclei-templates', 'nuclei-checks']",0.003827925628873496,0.03581844695588771,0.9218920889537003,0.17389719285453883,0.9625410134888808,1.0,0.018775063798760483,0.016769959897921984,0.003007655851257747,0.01986875683558148,Data Platforms / Backend Services / Integrations
@jlooper,microsoft/Web-Dev-For-Beginners,93032,JavaScript,"['javascript', 'css', 'html', 'learning', 'education', 'curriculum', 'tutorials', 'microsoft-for-beginners']",0.17239839213934793,0.5212148280482358,1.0,0.0562751228226887,0.06565430995980348,0.23179991067440822,0.27244305493523896,0.11344350156319785,0.00401965163019205,0.11701652523447968,Web / Mobile / Application Development
@harry0703,harry0703/MoneyPrinterTurbo,46890,Python,"['python', 'automation', 'ai', 'moviepy', 'shortvideo', 'tiktok', 'chatgpt']",0.20634920634920634,0.6666666666666666,0.8095238095238095,0.1746031746031746,0.6984126984126984,0.2698412698412698,0.49206349206349204,0.015873015873015872,0.873015873015873,1.0,Education / Tutorials / Docs
@dexhorthy,humanlayer/humanlayer,6326,TypeScript,"['ai', 'amp', 'opencode', 'agents', 'codex', 'human-in-the-loop', 'llm', 'llms', 'humanlayer', 'claude-code']",0.671071953010279,0.07342143906020558,1.0,0.022026431718061675,0.033773861967694566,0.10425844346549193,0.06901615271659324,0.7591776798825257,0.5594713656387665,0.007342143906020558,Web / Mobile / Application Development
@Paul-Licameli,audacity/audacity,15664,C++,"['audio', 'editor', 'cross-platform', 'gplv2', 'wxwidgets-applications']",0.0007476635514018691,0.6336448598130842,0.35289719626168226,0.04560747663551402,0.029158878504672896,0.0725233644859813,0.018691588785046728,1.0,0.2680373831775701,0.2680373831775701,Libraries / SDKs / Framework Components
@vhf,EbookFoundation/free-programming-books,374325,Python,"['education', 'list', 'books', 'resource', 'hacktoberfest']",0.0,0.0038314176245210726,0.26053639846743293,0.0,0.21839080459770116,0.007662835249042145,0.019157088122605363,0.0,0.06513409961685823,1.0,Education / Tutorials / Docs
@jatZama,zama-ai/fhevm,24819,Rust,"['privacy', 'blockchain', 'fhe']",0.08378378378378379,0.010810810810810811,0.08108108108108109,1.0,0.21081081081081082,0.05405405405405406,0.3864864864864865,0.6324324324324324,0.04054054054054054,0.04054054054054054,DevOps / Infrastructure / Cloud
@cclauss,TheAlgorithms/Python,211766,Python,"['python', 'education', 'algorithm', 'practice', 'interview', 'sorting-algorithms', 'learn', 'algos', 'algorithm-competitions', 'sorts', 'hacktoberfest', 'algorithms-implemented', 'community-driven', 'searches']",0.034482758620689655,0.0,0.25287356321839083,0.034482758620689655,0.27586206896551724,0.022988505747126436,0.0,0.011494252873563218,0.011494252873563218,1.0,Education / Tutorials / Docs
@actions-user,anthropics/claude-code,39836,TypeScript,['No topics'],1.0,0.041666666666666664,0.125,0.013888888888888888,0.2222222222222222,0.0,0.4305555555555556,0.125,0.09722222222222222,0.08333333333333333,AI / Data / ML
@laanwj,bitcoin/bitcoin,86331,C++,"['c-plus-plus', 'cryptography', 'bitcoin', 'p2p', 'cryptocurrency']",0.0013422818791946308,1.0,0.4080536912751678,0.008053691275167786,0.11140939597315436,0.009395973154362415,0.5328859060402684,0.11006711409395974,0.0013422818791946308,0.0026845637583892616,Systems / Embedded / Robotics
@YaLTeR,YaLTeR/niri,13873,Rust,"['rust', 'wayland-compositor', 'tiling-window-manager', 'wayland', 'smithay']",0.0072992700729927005,0.2116788321167883,1.0,0.08029197080291971,0.3284671532846715,0.06569343065693431,0.7372262773722628,0.06569343065693431,0.13138686131386862,0.145985401459854,Web / Mobile / Application Development
@kamranahmedse,kamranahmedse/developer-roadmap,341616,TypeScript,"['computer-science', 'roadmap', 'python-roadmap', 'developer-roadmap', 'devops-roadmap', 'react-roadmap', 'frontend-roadmap', 'java-roadmap', 'backend-roadmap', 'go-roadmap', 'angular-roadmap', 'nodejs-roadmap', 'dba-roadmap', 'javascript-roadmap', 'vue-roadmap', 'blockchain-roadmap', 'qa-roadmap', 'software-architect-roadmap']",0.12754197517989363,0.09855042235895296,0.33267285431223276,0.17478360621545522,0.10626759828970696,0.11992908541036604,0.12566482427781833,0.20502659297111273,0.06705600166857859,1.0,Education / Tutorials / Docs
@rullzer,nextcloud/server,32998,PHP,"['javascript', 'open-source', 'php', 'enterprise', 'design', 'opensource', 'cloud', 'ux', 'nextcloud', 'owncloud', 'decentralized', 'sharing', 'file-sharing', 'collaboration', 'distributed', 'free-software', 'usability', 'self-hosting', 'federation', 'hacktoberfest']",0.002438324727481354,1.0,0.12263339070567986,0.04044750430292599,0.16265060240963855,0.14816408491107286,0.04317269076305221,0.09380378657487091,0.01333907056798623,0.013052208835341365,Systems / Embedded / Robotics
@LarFii,HKUDS/RAG-Anything,9146,Python,"['retrieval-augmented-generation', 'multi-modal-rag']",1.0,0.006472491909385114,0.29449838187702265,0.0970873786407767,0.16828478964401294,0.13268608414239483,0.23624595469255663,0.022653721682847898,0.08737864077669903,0.019417475728155338,AI / Data / ML
@jdx,jdx/mise,20660,Rust,['No topics'],0.05405405405405406,0.0259009009009009,0.11373873873873874,0.23986486486486486,0.09009009009009009,0.12387387387387387,1.0,0.036036036036036036,0.033783783783783786,0.05630630630630631,CLI / Utilities / Developer Tools
@tannerlinsley,TanStack/router,11827,TypeScript,"['react', 'javascript', 'url', 'search', 'framework', 'typescript', 'router', 'state-management', 'ssr', 'routing', 'rpc', 'route', 'typesafe', 'fullstack', 'searchparams', 'server-functions']",0.004630854723471818,0.027917438475787246,1.0,0.0029108229690394285,0.050939401958189995,0.08507541677692511,0.06774278909764488,0.8674252447737497,0.010849431066419687,0.026329716856311195,Web / Mobile / Application Development
@treoden,evershopcommerce/evershop,8481,TypeScript,"['react', 'ecommerce', 'typescript', 'ecommerce-platform', 'ecommerce-framework']",0.0008460236886632825,0.10744500846023688,1.0,0.046531302876480544,0.1404399323181049,0.6404399323181049,0.032148900169204735,0.38747884940778343,0.0008460236886632825,0.004230118443316413,Web / Mobile / Application Development
@TibixDev,TibixDev/winboat,14205,TypeScript,"['windows', 'linux', 'docker', 'docker-compose', 'virtualization', 'rdp']",0.0,1.0,0.9642857142857143,0.6071428571428571,0.5892857142857143,0.32142857142857145,0.4107142857142857,0.2857142857142857,0.03571428571428571,0.07142857142857142,Systems / Embedded / Robotics
@maidul98,Infisical/infisical,23369,TypeScript,"['go', 'cli', 'golang', 'open-source', 'security', 'postgres', 'typescript', 'vault', 'acme', 'secret-management', 'secrets', 'environment-variables', 'pki', 'node-js', 'security-tools', 'secrets-management', 'certificate-management', 'secret-scanning', 'secret-manager', 'private-ca']",0.002003434459072696,0.19819690898683456,1.0,0.4947052089295936,0.1551230681167716,0.8068116771608471,0.02876359473382942,0.32498568975386377,0.03348597595878649,0.06682884945621065,Web / Mobile / Application Development
@hsliuping,hsliuping/TradingAgents-CN,11959,Python,['No topics'],0.8151260504201681,0.17647058823529413,1.0,0.5210084033613446,0.2773109243697479,0.21008403361344538,0.957983193277311,0.5714285714285714,0.09243697478991597,0.23529411764705882,Web / Mobile / Application Development
@alckasoc,simular-ai/Agent-S,7739,Python,"['memory', 'planning', 'cua', 'ai-agents', 'grounding', 'computer-automation', 'mllm', 'retrieval-augmented-generation', 'in-context-reinforcement-learning', 'agent-computer-interface', 'gui-agents', 'computer-use', 'computer-use-agent']",1.0,0.1340782122905028,0.4134078212290503,0.6424581005586593,0.2681564245810056,0.08379888268156424,0.12290502793296089,0.12290502793296089,0.15083798882681565,0.055865921787709494,AI / Data / ML
@LDOUBLEV,PaddlePaddle/PaddleOCR,62037,Python,"['ocr', 'pdf-parser', 'kie', 'document-translation', 'rag', 'chineseocr', 'ai4science', 'pp-ocr', 'document-parsing', 'pp-structure', 'pdf-extractor-rag', 'pdf2markdown', 'paddleocr-vl']",0.9595375722543352,0.7167630057803468,0.9653179190751445,0.5722543352601156,0.7398843930635838,0.3699421965317919,0.5722543352601156,0.15606936416184972,0.6878612716763006,1.0,Education / Tutorials / Docs
@LeiWang1999,tile-ai/tilelang,3788,C++,['No topics'],1.0,0.015527950310559006,0.10559006211180125,0.06832298136645963,0.10559006211180125,0.06521739130434782,0.468944099378882,0.027950310559006212,0.08385093167701864,0.015527950310559006,AI / Data / ML
@SkalskiP,roboflow/rf-detr,3909,Python,"['machine-learning', 'computer-vision', 'object-detection', 'sota', 'instance-segmentation', 'detr', 'rf-detr']",1.0,0.025,0.5583333333333333,0.041666666666666664,0.475,0.008333333333333333,0.15,0.1,0.20833333333333334,0.14166666666666666,AI / Data / ML
@jingyaogong,jingyaogong/minimind,30969,Python,"['artificial-intelligence', 'large-language-model']",0.5822784810126582,0.05063291139240506,1.0,0.012658227848101266,0.8354430379746836,0.06329113924050633,0.3860759493670886,0.012658227848101266,0.189873417721519,0.12658227848101267,Web / Mobile / Application Development
@karpathy,karpathy/nanoGPT,47303,Python,['No topics'],1.0,0.013986013986013986,0.11188811188811189,0.03496503496503497,0.1048951048951049,0.027972027972027972,0.06293706293706294,0.006993006993006993,0.027972027972027972,0.18181818181818182,AI / Data / ML
@CloudsOfChange,anthropics/prompt-eng-interactive-tutorial,24805,Jupyter Notebook,['No topics'],1.0,0.0,0.06666666666666667,0.022222222222222223,0.1111111111111111,0.044444444444444446,0.06666666666666667,0.0,0.08888888888888889,0.6,AI / Data / ML
@zealoushacker,anthropics/claude-cookbooks,24316,Jupyter Notebook,['No topics'],1.0,0.0047169811320754715,0.18396226415094338,0.11320754716981132,0.1509433962264151,0.03773584905660377,0.0660377358490566,0.0,0.4528301886792453,0.44339622641509435,AI / Data / ML
@davila7,davila7/claude-code-templates,9100,JavaScript,"['claude', 'anthropic', 'anthropic-claude', 'claude-code']",0.27348993288590606,0.01929530201342282,0.5373322147651006,0.06501677852348993,0.041526845637583895,0.07046979865771812,1.0,0.4475671140939597,0.05075503355704698,0.007969798657718121,CLI / Utilities / Developer Tools
@qin-ctx,volcengine/MineContext,2424,Python,"['electron', 'react', 'javascript', 'python', 'agent', 'typescript', 'memory', 'python3', 'embedding-models', 'rag', 'vector-database', 'vision-language-model', 'proactive-ai', 'context-engineering']",0.2011605415860735,0.11992263056092843,1.0,0.13346228239845262,0.09284332688588008,0.30754352030947774,0.2127659574468085,0.1895551257253385,0.05609284332688588,0.04061895551257253,Web / Mobile / Application Development
@karpathy,karpathy/micrograd,13270,Jupyter Notebook,['No topics'],1.0,0.0,0.07142857142857142,0.0,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.2857142857142857,AI / Data / ML
@crutkas,microsoft/PowerToys,124989,C#,"['windows', 'color-picker', 'command-palette', 'desktop', 'windows-10', 'keyboard-manager', 'windows-11', 'powertoys', 'fancyzones', 'microsoft-powertoys', 'powerrename']",0.006310475389145982,0.7799747580984434,0.9192259150189315,0.08456037021455616,0.045435422801851075,0.02187631468237274,0.5519562473706352,1.0,0.12116112747160286,0.12158182583087926,Libraries / SDKs / Framework Components
@ljharb,nvm-sh/nvm,88489,Shell,"['nodejs', 'shell', 'bash', 'zsh', 'node', 'install', 'nvm', 'posix', 'lts', 'version-manager', 'node-js', 'posix-compliant', 'nvmrc']",0.002512562814070352,0.07035175879396985,0.09045226130653267,0.04522613065326633,0.08710217755443886,0.008375209380234505,1.0,0.021775544388609715,0.022613065326633167,0.0033500837520938024,CLI / Utilities / Developer Tools
@DHowett,microsoft/terminal,100682,C++,"['windows', 'console', 'terminal', 'command-line', 'wsl', 'cmd', 'hacktoberfest', 'contributions-welcome', 'windows-console', 'good-first-issue', 'windows-terminal']",0.00099601593625498,1.0,0.06573705179282868,0.00796812749003984,0.029382470119521914,0.08814741035856574,0.9203187250996016,0.03286852589641434,0.2694223107569721,0.27241035856573703,Systems / Embedded / Robotics
@pi0,nitrojs/nitro,9254,TypeScript,['No topics'],0.0,0.026717557251908396,0.7061068702290076,0.14122137404580154,0.10305343511450382,1.0,0.31297709923664124,0.3435114503816794,0.003816793893129771,0.061068702290076333,Web / Mobile / Application Development
@alyssawilk,envoyproxy/envoy,26884,C++,"['cats', 'cncf', 'corgis', 'cars', 'rocket-ships', 'more-cats', 'cats-over-dogs', 'nanoservices']",0.006751543209876543,0.01832561728395062,0.8655478395061729,0.07966820987654322,0.6006944444444444,1.0,0.10300925925925926,0.16030092592592593,0.012152777777777778,0.02044753086419753,Data Platforms / Backend Services / Integrations
@omarsar,dair-ai/Prompt-Engineering-Guide,64911,MDX,"['agent', 'deep-learning', 'openai', 'language-model', 'agents', 'ai-agents', 'rag', 'prompt-engineering', 'llms', 'generative-ai', 'chatgpt']",1.0,0.0015479876160990713,0.26625386996904027,0.010835913312693499,0.15325077399380804,0.19659442724458204,0.05108359133126935,0.10990712074303406,0.4891640866873065,0.08978328173374613,AI / Data / ML
@ShuaiBai623,QwenLM/Qwen3-VL,15247,Jupyter Notebook,['No topics'],1.0,0.0196078431372549,0.39950980392156865,0.041666666666666664,0.30637254901960786,0.11764705882352941,0.11764705882352941,0.012254901960784314,0.39215686274509803,0.2647058823529412,AI / Data / ML
@emilio,servo/servo,32459,Rust,"['rust', 'browser', 'web', 'servo', 'webbrowser', 'webplatform', 'webengine']",0.02885936784241869,0.09951901053595968,1.0,0.1294090700870362,0.7995877233165368,0.24141090242785157,0.17258360054970223,0.32031607879065505,0.23946404031149793,0.1184150251946862,Web / Mobile / Application Development
@imoneoi,sapientinc/HRM,11493,Python,"['deep-learning', 'reasoning', 'large-language-models', 'brain-inspired-ai']",1.0,0.03773584905660377,0.22641509433962265,0.0,0.16981132075471697,0.018867924528301886,0.6792452830188679,0.03773584905660377,0.1509433962264151,0.24528301886792453,AI / Data / ML
@awesomekling,LadybirdBrowser/ladybird,54697,C++,"['browser', 'browser-engine']",0.007419183889772125,0.39074368486133193,0.12312312312312312,0.037802508390743686,0.03038332450097156,0.032503091326620735,0.09980568804098215,1.0,0.15703939233350997,0.032503091326620735,Libraries / SDKs / Framework Components
@guofei9987,guofei9987/blind_watermark,10534,Python,"['image-processing', 'watermark', 'watermark-image', 'blind-watermark']",1.0,0.2222222222222222,0.8611111111111112,0.0,0.8333333333333334,0.0,0.3055555555555556,0.027777777777777776,0.0,0.0,AI / Data / ML
@yeongpin,yeongpin/cursor-free-vip,39526,Python,"['automation', 'free', 'cursor', 'cursors', 'pro', 'cursor-ide', 'freetrial', 'cursorai', 'cursor-ai']",0.07317073170731707,0.9512195121951219,1.0,0.12195121951219512,0.8536585365853658,0.5365853658536586,0.6341463414634146,0.07317073170731707,0.12195121951219512,0.1951219512195122,Web / Mobile / Application Development
@ultmaster,microsoft/agent-lightning,4237,Python,"['agent', 'reinforcement-learning', 'mlops', 'llm', 'agentic-ai']",1.0,0.0,0.46601941747572817,0.1650485436893204,0.3883495145631068,0.20388349514563106,0.13592233009708737,0.009708737864077669,0.1650485436893204,0.49514563106796117,AI / Data / ML
@harshavardhana,minio/minio,57603,Go,"['go', 'kubernetes', 'cloud', 'storage', 's3', 'k8s', 'cloudnative', 'objectstorage', 'multi-cloud', 'cloudstorage', 'amazon-s3', 'multi-cloud-kubernetes']",0.011834319526627219,0.9842209072978304,0.26232741617357,0.9644970414201184,0.1755424063116371,0.33530571992110453,1.0,0.01775147928994083,0.015779092702169626,0.02564102564102564,CLI / Utilities / Developer Tools
@moondevonyt,moondevonyt/moon-dev-ai-agents,1835,Python,['No topics'],0.3603542234332425,0.005449591280653951,0.029291553133514985,0.043596730245231606,0.0170299727520436,0.019754768392370572,0.03814713896457766,0.0020435967302452314,1.0,0.020435967302452316,Research / Experiments / Demos
@CarsonRoscoe,coinbase/x402,3480,TypeScript,['No topics'],0.04624542124542125,0.10347985347985347,1.0,0.0004578754578754579,0.16117216117216118,0.2509157509157509,0.044413919413919416,0.46291208791208793,0.06227106227106227,0.022435897435897436,Web / Mobile / Application Development
@abdulfatir,amazon-science/chronos-forecasting,4093,Python,"['machine-learning', 'timeseries', 'time-series', 'transformers', 'artificial-intelligence', 'forecasting', 'pretrained-models', 'time-series-forecasting', 'huggingface', 'huggingface-transformers', 'foundation-models', 'large-language-models', 'llm']",1.0,0.012987012987012988,0.5844155844155844,0.16883116883116883,0.7142857142857143,0.05194805194805195,0.12987012987012986,0.42857142857142855,0.8831168831168831,0.42857142857142855,AI / Data / ML
@gschier,mountain-loop/yaak,14615,TypeScript,"['graphql', 'http', 'websocket', 'grpc', 'http-client', 'sse', 'tauri', 'postman-alternative', 'insomnia-alternative', 'bruno-alternative']",0.0,0.07952468007312614,1.0,0.05850091407678245,0.09780621572212066,0.0283363802559415,0.1663619744058501,0.5457038391224863,0.0009140767824497258,0.005484460694698354,Web / Mobile / Application Development
@himself65,toeverything/AFFiNE,58689,TypeScript,"['electron', 'editor', 'markdown', 'rust', 'app', 'wiki', 'notes', 'table', 'rust-language', 'workspace', 'whiteboard', 'tableview', 'rust-lang', 'crdt', 'knowledge-base', 'notion', 'miro', 'notion-alternative']",0.07732798596315328,0.41120441158039855,1.0,0.09662865020679283,0.025441784684797592,0.3773655846597318,0.17182604336383006,0.21769645318962275,0.060032585537034715,0.027321719513723523,Web / Mobile / Application Development
@liyasthomas,hoppscotch/hoppscotch,76595,TypeScript,"['testing', 'api', 'graphql', 'http', 'vuejs', 'spa', 'tools', 'pwa', 'rest', 'vue', 'rest-api', 'websocket', 'http-client', 'api-client', 'developer-tools', 'api-rest', 'testing-tools', 'api-testing']",0.052191038897095025,0.2708025603151157,1.0,0.028064992614475627,0.11078286558345643,0.48399803052683404,0.19202363367799113,0.4977843426883309,0.008370260955194485,0.006893156080748399,Web / Mobile / Application Development
