Developer,Repository Name,Number of Stars,Forks,Stars Today,Language,Topics,AI / Data / ML,Systems / Embedded / Robotics,Web / Mobile / Application Development,DevOps / Infrastructure / Cloud,Security / Networking,Data Platforms / Backend Services / Integrations,CLI / Utilities / Developer Tools,Libraries / SDKs / Framework Components,Research / Experiments / Demos,Education / Tutorials / Docs,top_genre
@Dev-Khant,mem0ai/mem0,42187,4538,111,Python,"['python', 'application', 'state-management', 'ai', 'memory', 'chatbots', 'memory-management', 'agents', 'hacktoberfest', 'ai-agents', 'long-term-memory', 'rag', 'llm', 'chatgpt', 'genai']",1,0,0.281927711,0.159036145,0.002409639,0.103614458,0.019277108,0.253012048,0.098795181,0.053012048,AI / Data / ML
@iam-veeramalla,iam-veeramalla/aws-devops-zero-to-hero,9320,13218,78,Python,['No topics'],0,0,0,1,0.102040816,0.054421769,0.020408163,0.020408163,0.047619048,0.408163265,DevOps / Infrastructure / Cloud
@lyingbug,Tencent/WeKnora,6827,785,87,Go,"['agent', 'golang', 'multi-tenant', 'ai', 'chatbot', 'evaluation', 'embeddings', 'openai', 'question-answering', 'chatbots', 'knowledge-base', 'semantic-search', 'reranking', 'multimodel', 'rag', 'vector-search', 'llm', 'generative-ai', 'agentic', 'ollama']",0.342342342,0,1,0.333333333,0.054054054,0.171171171,0.189189189,0.072072072,0.108108108,0.126126126,Web / Mobile / Application Development
@actions-user,projectdiscovery/nuclei-templates,11131,3110,19,JavaScript,"['security', 'fingerprint', 'exploits', 'nuclei', 'bugbounty', 'vulnerability-detection', 'hacktoberfest', 'exploit-development', 'nuclei-templates', 'nuclei-checks']",0.005597015,0.006529851,0.185634328,0.565298507,1,0.111007463,0.039179104,0.027985075,0.014925373,0.013992537,Security / Networking
@imthenachoman,imthenachoman/How-To-Secure-A-Linux-Server,22144,1412,936,Unknown,"['linux', 'security', 'server', 'hardening', 'security-hardening', 'linux-server', 'cc-by-sa', 'hardening-steps']",0.024038462,0,0,0.197115385,0.716346154,0.072115385,1,0.091346154,0.014423077,0.625,CLI / Utilities / Developer Tools
@jba,modelcontextprotocol/go-sdk,2743,250,17,Go,['No topics'],0,0,0,0,0.076923077,0.230769231,0,1,0.076923077,0.153846154,Libraries / SDKs / Framework Components
@ad-on-is,ad-on-is/rachoon,372,21,45,TypeScript,['No topics'],0,0,1,0.044334975,0,0.54679803,0.009852217,0.024630542,0.004926108,0.004926108,Web / Mobile / Application Development
@Koitharu,KotatsuApp/Kotatsu,7214,370,26,Kotlin,"['android', 'manga', 'comics', 'mangareader', 'manga-reader', 'webtoon']",0,0,0,0.106060606,0.045454545,1,0.015151515,0.060606061,0.015151515,0.015151515,Data Platforms / Backend Services / Integrations
@ggerganov,ggml-org/ggml,13413,1380,12,C++,"['machine-learning', 'automatic-differentiation', 'tensor-algebra', 'large-language-models']",0.478632479,1,0,0,0,0.085470085,0.094017094,0.017094017,0.017094017,0.034188034,Systems / Embedded / Robotics
@kierank,FFmpeg/asm-lessons,9741,291,215,Unknown,['No topics'],0,0,0,0,0,0,1,0,0,0,CLI / Utilities / Developer Tools
@whummer,localstack/localstack,61794,4327,467,Python,"['python', 'testing', 'aws', 'cloud', 'continuous-integration', 'developer-tools', 'localstack']",0,0,0.000374392,1,0.001871958,0.013103706,0.016473231,0.00224635,0.035567203,0.04417821,DevOps / Infrastructure / Cloud
@PKUFlyingPig,PKUFlyingPig/cs-self-learning,68857,7694,167,HTML,['No topics'],0.111111111,0.333333333,0,0.111111111,0,0,0.388888889,0,0.222222222,1,Education / Tutorials / Docs
@harry0703,harry0703/MoneyPrinterTurbo,46890,6557,7056,Python,"['python', 'automation', 'ai', 'moviepy', 'shortvideo', 'tiktok', 'chatgpt']",0.166666667,0,0,0.12962963,0,0,0.259259259,0.018518519,0.981481481,1,Education / Tutorials / Docs
@dexhorthy,humanlayer/humanlayer,6326,485,3789,TypeScript,"['ai', 'amp', 'opencode', 'agents', 'codex', 'human-in-the-loop', 'llm', 'llms', 'humanlayer', 'claude-code']",0.427027027,0,1,0.010810811,0,0.140540541,0.064864865,0.632432432,0.010810811,0.021621622,Web / Mobile / Application Development
@Paul-Licameli,audacity/audacity,15664,2451,1474,C++,"['audio', 'editor', 'cross-platform', 'gplv2', 'wxwidgets-applications']",0,1,0.005326232,0.005326232,0.000665779,0,0.001997337,0.025299601,0.472703063,0.476697736,Systems / Embedded / Robotics
@vhf,EbookFoundation/free-programming-books,374325,65022,5351,Python,"['education', 'list', 'books', 'resource', 'hacktoberfest']",0,0,0,0,0,0,0.01659751,0,0.033195021,1,Education / Tutorials / Docs
@jatZama,zama-ai/fhevm,24819,1268,4948,Rust,"['privacy', 'blockchain', 'fhe']",0.084337349,0,0.004016064,0.510040161,0.104417671,0.032128514,0.02811245,1,0.0562249,0.124497992,Libraries / SDKs / Framework Components
@cclauss,TheAlgorithms/Python,211766,48864,4012,Python,"['python', 'education', 'algorithm', 'practice', 'interview', 'sorting-algorithms', 'learn', 'algos', 'algorithm-competitions', 'sorts', 'hacktoberfest', 'algorithms-implemented', 'community-driven', 'searches']",0.5,0,0,0.166666667,0.5,0,0,0.166666667,0,1,Education / Tutorials / Docs
@actions-user,anthropics/claude-code,39836,2545,6082,TypeScript,['No topics'],1,0,0,0.018181818,0.127272727,0,0.236363636,0.163636364,0,0.145454545,AI / Data / ML
@laanwj,bitcoin/bitcoin,86331,38058,843,C++,"['c-plus-plus', 'cryptography', 'bitcoin', 'p2p', 'cryptocurrency']",0,1,0,0.006830601,0.101092896,0.004098361,0.043715847,0.028688525,0.00136612,0.00273224,Systems / Embedded / Robotics
@YaLTeR,YaLTeR/niri,13873,489,2402,Rust,"['rust', 'wayland-compositor', 'tiling-window-manager', 'wayland', 'smithay']",0,0.129411765,0,0,0,0.047058824,1,0,0.188235294,0.188235294,CLI / Utilities / Developer Tools
@kamranahmedse,kamranahmedse/developer-roadmap,341616,43191,5046,TypeScript,"['computer-science', 'roadmap', 'python-roadmap', 'developer-roadmap', 'devops-roadmap', 'react-roadmap', 'frontend-roadmap', 'java-roadmap', 'backend-roadmap', 'go-roadmap', 'angular-roadmap', 'nodejs-roadmap', 'dba-roadmap', 'javascript-roadmap', 'vue-roadmap', 'blockchain-roadmap', 'qa-roadmap', 'software-architect-roadmap']",0.68206158,0.100401606,1,0.608433735,0.53815261,0.329986613,0.512717537,0.068273092,0.212851406,0.22021419,Web / Mobile / Application Development
@rullzer,nextcloud/server,32998,4602,2238,PHP,"['javascript', 'open-source', 'php', 'enterprise', 'design', 'opensource', 'cloud', 'ux', 'nextcloud', 'owncloud', 'decentralized', 'sharing', 'file-sharing', 'collaboration', 'distributed', 'free-software', 'usability', 'self-hosting', 'federation', 'hacktoberfest']",0.011844332,0.00676819,0.686971235,0.030456853,1,0.72250423,0.025380711,0.079526227,0.155668359,0.155668359,Security / Networking
@LarFii,HKUDS/RAG-Anything,9146,1044,3897,Python,"['retrieval-augmented-generation', 'multi-modal-rag']",1,0,0,0.101190476,0,0.089285714,0.06547619,0.023809524,0.107142857,0.005952381,AI / Data / ML
@jdx,jdx/mise,20660,690,1293,Rust,['No topics'],0.060509554,0.003184713,0.017515924,0.25955414,0.042993631,0.127388535,1,0.015923567,0.025477707,0.035031847,CLI / Utilities / Developer Tools
@tannerlinsley,TanStack/router,11827,1302,714,TypeScript,"['react', 'javascript', 'url', 'search', 'framework', 'typescript', 'router', 'state-management', 'ssr', 'routing', 'rpc', 'route', 'typesafe', 'fullstack', 'searchparams', 'server-functions']",0.001827199,0,1,0.000783085,0.034716784,0.038110154,0.017227878,0.727747324,0,0.057426259,Web / Mobile / Application Development
@TibixDev,TibixDev/winboat,14205,358,9004,TypeScript,"['windows', 'linux', 'docker', 'docker-compose', 'virtualization', 'rdp']",0,0,0.583333333,1,0.041666667,0.083333333,0.125,0.208333333,0.083333333,0.25,DevOps / Infrastructure / Cloud
@maidul98,Infisical/infisical,23369,1558,3282,TypeScript,"['go', 'cli', 'golang', 'open-source', 'security', 'postgres', 'typescript', 'vault', 'acme', 'secret-management', 'secrets', 'environment-variables', 'pki', 'node-js', 'security-tools', 'secrets-management', 'certificate-management', 'secret-scanning', 'secret-manager', 'private-ca']",0.004651163,0.000715564,1,0.454025045,0.105187835,0.851878354,0.018962433,0.090161002,0.026833631,0.125223614,Web / Mobile / Application Development
@hsliuping,hsliuping/TradingAgents-CN,11959,2544,4613,Python,['No topics'],1,0,0.060240964,0.578313253,0.012048193,0.096385542,0.710843373,0,0.060240964,0.337349398,AI / Data / ML
@alckasoc,simular-ai/Agent-S,7739,840,1433,Python,"['memory', 'planning', 'cua', 'ai-agents', 'grounding', 'computer-automation', 'mllm', 'retrieval-augmented-generation', 'in-context-reinforcement-learning', 'agent-computer-interface', 'gui-agents', 'computer-use', 'computer-use-agent']",1,0,0,0.386861314,0.01459854,0,0.072992701,0.058394161,0.182481752,0.04379562,AI / Data / ML
@LeiWang1999,tile-ai/tilelang,3788,290,1944,C++,['No topics'],1,0.12195122,0,0.487804878,0.024390244,0.487804878,0.12195122,0.048780488,0.609756098,0.073170732,AI / Data / ML
@SkalskiP,roboflow/rf-detr,3909,445,837,Python,"['machine-learning', 'computer-vision', 'object-detection', 'sota', 'instance-segmentation', 'detr', 'rf-detr']",1,0,0.333333333,0.166666667,0,0,0.277777778,0.5,0.833333333,0.944444444,AI / Data / ML
@treoden,evershopcommerce/evershop,8694,2021,2967,TypeScript,"['react', 'ecommerce', 'typescript', 'ecommerce-platform', 'ecommerce-framework']",0.002857143,0,0.865714286,0.051428571,0.008571429,1,0.022857143,0.094285714,0.002857143,0.031428571,Data Platforms / Backend Services / Integrations
@sammccauley117,google-gemini/computer-use-preview,1702,216,1696,Python,['No topics'],1,0,0,0,0,0.052631579,0.894736842,0,0,0.052631579,AI / Data / ML
@LDOUBLEV,PaddlePaddle/PaddleOCR,62819,9258,6257,Python,"['ocr', 'pdf-parser', 'kie', 'document-translation', 'rag', 'chineseocr', 'ai4science', 'pp-ocr', 'document-parsing', 'pp-structure', 'pdf-extractor-rag', 'pdf2markdown', 'paddleocr-vl']",0.814159292,0.336283186,0,0.752212389,0.008849558,0.221238938,0.115044248,0.221238938,1,0.238938053,Research / Experiments / Demos
@Dhravya,supermemoryai/supermemory,13307,1387,2294,TypeScript,"['postgres', 'typescript', 'remix', 'tailwindcss', 'vite', 'cloudflare-workers', 'cloudflare-kv', 'cloudflare-pages', 'drizzle-orm']",1,0,0.078431373,0.078431373,0.019607843,0.156862745,0.078431373,0.823529412,0.176470588,0.274509804,AI / Data / ML
@jingyaogong,jingyaogong/minimind,30969,3564,3426,Python,"['artificial-intelligence', 'large-language-model']",1,0.120689655,0,0,0,0,0.844827586,0,0.482758621,0.086206897,AI / Data / ML
@karpathy,karpathy/nanoGPT,47303,7944,1983,Python,['No topics'],1,0,0,0.044444444,0,0,0,0,0.044444444,0.088888889,AI / Data / ML
@CloudsOfChange,anthropics/prompt-eng-interactive-tutorial,24805,2262,4649,Jupyter Notebook,['No topics'],0.5625,0,0,0.0625,0,0,0,0,0.0625,1,Education / Tutorials / Docs
@zealoushacker,anthropics/claude-cookbooks,24316,2455,2125,Jupyter Notebook,['No topics'],1,0,0.006666667,0.1,0,0.013333333,0.013333333,0,0.566666667,0.506666667,AI / Data / ML
@davila7,davila7/claude-code-templates,9100,763,1245,JavaScript,"['claude', 'anthropic', 'anthropic-claude', 'claude-code']",0.330427201,0.003487358,0.136878814,0.046207498,0.059285092,0.060156931,1,0.018308631,0.025283348,0.025283348,CLI / Utilities / Developer Tools
@qin-ctx,volcengine/MineContext,2424,129,905,Python,"['electron', 'react', 'javascript', 'python', 'agent', 'typescript', 'memory', 'python3', 'embedding-models', 'rag', 'vector-database', 'vision-language-model', 'proactive-ai', 'context-engineering']",0.198757764,0.00310559,1,0.065217391,0.031055901,0.111801242,0.065217391,0.02484472,0.043478261,0.052795031,Web / Mobile / Application Development
@karpathy,karpathy/micrograd,13270,1959,256,Jupyter Notebook,['No topics'],1,0,0,0,0,0,0.133333333,0.133333333,0.266666667,0,AI / Data / ML
@crutkas,microsoft/PowerToys,124989,7433,714,C#,"['windows', 'color-picker', 'command-palette', 'desktop', 'windows-10', 'keyboard-manager', 'windows-11', 'powertoys', 'fancyzones', 'microsoft-powertoys', 'powerrename']",0.005665722,0.760623229,0.011331445,0.009915014,0.009915014,0.011331445,1,0.378186969,0.399433428,0.385269122,CLI / Utilities / Developer Tools
@ljharb,nvm-sh/nvm,88489,9474,1117,Shell,"['nodejs', 'shell', 'bash', 'zsh', 'node', 'install', 'nvm', 'posix', 'lts', 'version-manager', 'node-js', 'posix-compliant', 'nvmrc']",0,0,0,0.062121212,0.006060606,0.004545455,1,0.021212121,0.006060606,0.004545455,CLI / Utilities / Developer Tools
@DHowett,microsoft/terminal,100682,8872,196,C++,"['windows', 'console', 'terminal', 'command-line', 'wsl', 'cmd', 'hacktoberfest', 'contributions-welcome', 'windows-console', 'good-first-issue', 'windows-terminal']",0,0.449511401,0,0.004885993,0.000814332,0.042345277,1,0.041530945,0.438110749,0.44218241,CLI / Utilities / Developer Tools
@pi0,nitrojs/nitro,9254,728,1244,TypeScript,['No topics'],0,0,1,0.113744076,0.104265403,0.421800948,0.037914692,0.279620853,0,0.004739336,Web / Mobile / Application Development
@alyssawilk,envoyproxy/envoy,26884,5115,194,C++,"['cats', 'cncf', 'corgis', 'cars', 'rocket-ships', 'more-cats', 'cats-over-dogs', 'nanoservices']",0,0.005044136,0.011349306,0.472887768,0.669609079,1,0.003783102,0.996216898,0.058007566,0.016393443,Data Platforms / Backend Services / Integrations
@omarsar,dair-ai/Prompt-Engineering-Guide,64911,6750,1680,MDX,"['agent', 'deep-learning', 'openai', 'language-model', 'agents', 'ai-agents', 'rag', 'prompt-engineering', 'llms', 'generative-ai', 'chatgpt']",1,0,0.054054054,0.002457002,0,0.002457002,0.00982801,0.00982801,0.380835381,0.098280098,AI / Data / ML
@ShuaiBai623,QwenLM/Qwen3-VL,15247,1177,1010,Jupyter Notebook,['No topics'],1,0,0,0.058181818,0,0.010909091,0.043636364,0.003636364,0.210909091,0.04,AI / Data / ML
@emilio,servo/servo,32459,3289,387,Rust,"['rust', 'browser', 'web', 'servo', 'webbrowser', 'webplatform', 'webengine']",0.125275938,0.347130243,0.062913907,0.542494481,1,0.046909492,0.005518764,0.216335541,0.698675497,0.458609272,Security / Networking
@imoneoi,sapientinc/HRM,11493,1667,473,Python,"['deep-learning', 'reasoning', 'large-language-models', 'brain-inspired-ai']",1,0,0,0,0,0.038461538,0.653846154,0.076923077,0.307692308,0.192307692,AI / Data / ML
@awesomekling,LadybirdBrowser/ladybird,54697,2420,4794,C++,"['browser', 'browser-engine']",0.007710843,1,0.013975904,0.058313253,0.00626506,0.004337349,0.002409639,0.02313253,0.386506024,0.088192771,Systems / Embedded / Robotics
@guofei9987,guofei9987/blind_watermark,10534,1067,2863,Python,"['image-processing', 'watermark', 'watermark-image', 'blind-watermark']",0,0.233333333,0.033333333,0,1,0,0.2,0,0,0.033333333,Security / Networking
@yeongpin,yeongpin/cursor-free-vip,39526,4805,2995,Python,"['automation', 'free', 'cursor', 'cursors', 'pro', 'cursor-ide', 'freetrial', 'cursorai', 'cursor-ai']",0.6,0,0,0,0.6,0,1,0.6,1,1,CLI / Utilities / Developer Tools
@harshavardhana,minio/minio,57603,6400,1841,Go,"['go', 'kubernetes', 'cloud', 'storage', 's3', 'k8s', 'cloudnative', 'objectstorage', 'multi-cloud', 'cloudstorage', 'amazon-s3', 'multi-cloud-kubernetes']",0.010676157,0.010676157,0,1,0.085409253,0.049822064,0,0.03202847,0.010676157,0.060498221,DevOps / Infrastructure / Cloud
@moondevonyt,moondevonyt/moon-dev-ai-agents,1835,971,869,Python,['No topics'],0.304169515,0,0.002050581,0.01367054,0.000683527,0.00683527,0.009569378,0.000683527,1,0.007518797,Research / Experiments / Demos
@CarsonRoscoe,coinbase/x402,3480,570,1126,TypeScript,['No topics'],0.016290727,0.091478697,1,0,0.374686717,0.209273183,0.001253133,0.082706767,0.061403509,0.056390977,Web / Mobile / Application Development
@abdulfatir,amazon-science/chronos-forecasting,4093,464,242,Python,"['machine-learning', 'timeseries', 'time-series', 'transformers', 'artificial-intelligence', 'forecasting', 'pretrained-models', 'time-series-forecasting', 'huggingface', 'huggingface-transformers', 'foundation-models', 'large-language-models', 'llm']",1,0,0,0.171428571,0.028571429,0.042857143,0,0.057142857,0.742857143,0.242857143,AI / Data / ML
@gschier,mountain-loop/yaak,14615,519,3244,TypeScript,"['graphql', 'http', 'websocket', 'grpc', 'http-client', 'sse', 'tauri', 'postman-alternative', 'insomnia-alternative', 'bruno-alternative']",0,0,1,0.012562814,0.035175879,0.045226131,0.168341709,0.130653266,0.002512563,0.005025126,Web / Mobile / Application Development
@himself65,toeverything/AFFiNE,58689,3993,2207,TypeScript,"['electron', 'editor', 'markdown', 'rust', 'app', 'wiki', 'notes', 'table', 'rust-language', 'workspace', 'whiteboard', 'tableview', 'rust-lang', 'crdt', 'knowledge-base', 'notion', 'miro', 'notion-alternative']",0.101843055,0.000380011,1,0.024700741,0.004750143,0.348850466,0.060041801,0.028120844,0.037621129,0.035721072,Web / Mobile / Application Development
@liyasthomas,hoppscotch/hoppscotch,76595,5376,1418,TypeScript,"['testing', 'api', 'graphql', 'http', 'vuejs', 'spa', 'tools', 'pwa', 'rest', 'vue', 'rest-api', 'websocket', 'http-client', 'api-client', 'developer-tools', 'api-rest', 'testing-tools', 'api-testing']",0.102239533,0.014605648,1,0.011684518,0.027263875,0.688412853,0.136319377,0.042843233,0.011684518,0.019474197,Web / Mobile / Application Development
@ROBERT-MCDOWELL,DrewThomasson/ebook2audiobook,14210,1073,999,Python,"['multilingual', 'windows', 'linux', 'docker', 'mac', 'kaggle', 'audiobook', 'tts', 'english', 'epub', 'chinese', 'gradio', 'audiobooks', 'colab-notebook', 'voice-cloning', 'xtts']",0.342465753,0.109589041,0.136986301,1,0,0,0.424657534,0,0.082191781,0.232876712,DevOps / Infrastructure / Cloud
@jakep-allenai,allenai/olmocr,15318,1169,518,Python,['No topics'],0.305084746,0,0,1,0,0.338983051,0.576271186,0,0.203389831,0.050847458,DevOps / Infrastructure / Cloud
@antfu,slidevjs/slidev,40981,1724,315,TypeScript,"['markdown', 'vue', 'presentation', 'slides', 'vite', 'vueuse']",0.004926108,0.004926108,1,0,0,0,0.21182266,0.093596059,0.034482759,0.236453202,Web / Mobile / Application Development
@TheRobotStudio,TheRobotStudio/SO-ARM100,4177,345,824,Unknown,['No topics'],0.161290323,1,0,0,0,0.032258065,0,0.129032258,0,0.258064516,Systems / Embedded / Robotics
@cjpais,cjpais/Handy,4806,298,1479,TypeScript,"['cross-platform', 'accessibility', 'speech-to-text', 'tauri-v2']",0.047619048,0.031746032,1,0,0.015873016,0.015873016,0.03968254,0.031746032,0.126984127,0.126984127,Web / Mobile / Application Development
@lfnovo,lfnovo/open-notebook,9019,884,1807,TypeScript,"['learning', 'notebook', 'assistant', 'note-taking', 'self-learning', 'notes-app']",0.06779661,0,1,0.118644068,0.005649718,0.02259887,0.039548023,0.011299435,0.04519774,0.124293785,Web / Mobile / Application Development
@cyyeh,Canner/WrenAI,12612,1313,291,TypeScript,"['agent', 'bigquery', 'charts', 'sql', 'postgresql', 'bedrock', 'business-intelligence', 'openai', 'spreadsheets', 'vertex', 'genbi', 'text-to-sql', 'rag', 'text2sql', 'duckdb', 'llm', 'anthropic', 'sqlai', 'text-to-chart']",1,0,0.142857143,0.25,0.003968254,0.154761905,0.015873016,0.003968254,0.011904762,0.099206349,AI / Data / ML
@yuja,jj-vcs/jj,21753,769,413,Rust,"['git', 'cli', 'mercurial', 'vcs', 'jj', 'jujutsu']",0,0,0,0.002178649,0.002178649,0.015250545,1,0.002178649,0.017429194,0.032679739,CLI / Utilities / Developer Tools
@chrislusf,seaweedfs/seaweedfs,26738,2510,536,Go,"['kubernetes', 'distributed-systems', 'fuse', 'replication', 'cloud-drive', 's3', 'posix', 's3-storage', 'hdfs', 'distributed-storage', 'distributed-file-system', 'erasure-coding', 'object-storage', 'blob-storage', 'seaweedfs', 'hadoop-hdfs', 'tiered-file-system']",0.006476684,0,0.002590674,1,0.012953368,0.418393782,0.163212435,0.002590674,0.020725389,0.020725389,DevOps / Infrastructure / Cloud
@666ghj,666ghj/BettaFish,17723,3453,12306,Python,"['nlp', 'sentiment-analysis', 'python3', 'data-analysis', 'deep-search', 'multi-agent-system', 'agent-framework', 'public-opinion-analysis', 'llms', 'deep-research']",1,0,0.346938776,0.12244898,0,0.448979592,0.346938776,0.040816327,0.020408163,0,AI / Data / ML
@ultmaster,microsoft/agent-lightning,7287,554,3315,Python,"['agent', 'reinforcement-learning', 'mlops', 'llm', 'agentic-ai']",1,0,0,0.020408163,0.010204082,0.081632653,0.051020408,0.010204082,0.142857143,0.224489796,AI / Data / ML
@Zongwei9888,HKUDS/DeepCode,9629,1299,1434,Python,"['llm-agent', 'agentic-coding']",1,0,0.078651685,0.101123596,0,0.134831461,0.382022472,0.056179775,0.337078652,0.112359551,AI / Data / ML
