Developer,Repository Name,Number of Stars,Forks,Stars Today,Language,Topics
@gschier,mountain-loop/yaak,15208,550,7446,TypeScript,"['graphql', 'http', 'websocket', 'grpc', 'http-client', 'sse', 'tauri', 'postman-alternative', 'insomnia-alternative', 'bruno-alternative']"
@CloudsOfChange,anthropics/prompt-eng-interactive-tutorial,25924,2364,7363,Jupyter Notebook,['No topics']
@ultmaster,microsoft/agent-lightning,7287,554,5364,Python,"['agent', 'reinforcement-learning', 'mlops', 'llm', 'agentic-ai']"
@zealoushacker,anthropics/claude-cookbooks,27094,2718,6577,Jupyter Notebook,['No topics']
@lfnovo,lfnovo/open-notebook,9614,951,4951,TypeScript,"['learning', 'notebook', 'assistant', 'note-taking', 'self-learning', 'notes-app']"
@karpathy,karpathy/nanoGPT,49040,8215,4229,Python,['No topics']
@ROBERT-MCDOWELL,DrewThomasson/ebook2audiobook,14885,1143,3362,Python,"['multilingual', 'windows', 'linux', 'docker', 'mac', 'kaggle', 'audiobook', 'tts', 'english', 'epub', 'chinese', 'gradio', 'audiobooks', 'colab-notebook', 'voice-cloning', 'xtts']"
@jingyaogong,jingyaogong/minimind,32621,3778,5609,Python,"['artificial-intelligence', 'large-language-model']"
@treoden,evershopcommerce/evershop,8694,2021,2967,TypeScript,"['react', 'ecommerce', 'typescript', 'ecommerce-platform', 'ecommerce-framework']"
@cjpais,cjpais/Handy,5869,367,3889,TypeScript,"['cross-platform', 'accessibility', 'speech-to-text', 'tauri-v2']"
@sammccauley117,google-gemini/computer-use-preview,1702,216,1696,Python,['No topics']
@harshavardhana,minio/minio,57898,6426,2562,Go,"['go', 'kubernetes', 'cloud', 'storage', 's3', 'k8s', 'cloudnative', 'objectstorage', 'multi-cloud', 'cloudstorage', 'amazon-s3', 'multi-cloud-kubernetes']"
@CarsonRoscoe,coinbase/x402,3795,673,1839,TypeScript,['No topics']
@ShuaiBai623,QwenLM/Qwen3-VL,16017,1271,2395,Jupyter Notebook,['No topics']
@awesomekling,LadybirdBrowser/ladybird,55241,2451,6137,C++,"['browser', 'browser-engine']"
@LDOUBLEV,PaddlePaddle/PaddleOCR,62819,9258,6257,Python,"['ocr', 'pdf-parser', 'kie', 'document-translation', 'rag', 'chineseocr', 'ai4science', 'pp-ocr', 'document-parsing', 'pp-structure', 'pdf-extractor-rag', 'pdf2markdown', 'paddleocr-vl']"
@emilio,servo/servo,33709,3338,2057,Rust,"['rust', 'browser', 'web', 'servo', 'webbrowser', 'webplatform', 'webengine']"
@davila7,davila7/claude-code-templates,10313,889,3664,JavaScript,"['claude', 'anthropic', 'anthropic-claude', 'claude-code']"
@yeongpin,yeongpin/cursor-free-vip,40235,4864,4480,Python,"['automation', 'free', 'cursor', 'cursors', 'pro', 'cursor-ide', 'freetrial', 'cursorai', 'cursor-ai']"
@Dhravya,supermemoryai/supermemory,13307,1387,2294,TypeScript,"['postgres', 'typescript', 'remix', 'tailwindcss', 'vite', 'cloudflare-workers', 'cloudflare-kv', 'cloudflare-pages', 'drizzle-orm']"
